Map site number,Site Name,Site Code,Department,Province,District,Latitude,Longitude,On-site measurement,Google Earth,Recorded,Site Location notes (Satellite imagery 2020), 
304,Katiranaentsa o Katirenza,-,Loreto,Datem del Marañón,Morona,-3.065396553,-77.34494816,No,210,240,-,"ENVIRONMENTAL RESOURCES MANAGEMENT – ERM PERÚ S.A. 2002.  Estudio de Impacto Ambiental-Social en el Área Noroeste del Lote 64.  96 pp. Informe Final / Resumen Ejecutivo. // MEDINA MENDOZA, Ada. 2003. Proyecto de evaluación arqueológica en el área noroeste del Lote 64. 237 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú. "
305,Vargas Guerra,-,Loreto,Datem del Marañón,Morona,-2.992953437,-77.70086684,No,213,-,-,"RAVINES, Rogger. 1989. Cerámica del río Morona, Alto Amazonas, Loreto. Pp. 14-18. Boletín de Lima, Año 11, N° 66. Lima, Perú."
306,Base Militar Sargento Puño,-,Loreto,Datem del Marañón,Morona,-3.222800754,-77.60400463,No,195,-,At the edge of river,"RAVINES, Rogger. 1989. Cerámica del río Morona, Alto Amazonas, Loreto. Pp. 14-18. Boletín de Lima, Año 11, N° 66. Lima, Perú. // ENVIRONMENTAL RESOURCES MANAGEMENT – ERM PERÚ S.A. 2002.  Estudio de Impacto Ambiental-Social en el Área Noroeste del Lote 64.  96 pp. Informe Final / Resumen Ejecutivo. // MEDINA MENDOZA, Ada. 2003. Proyecto de evaluación arqueológica en el área noroeste del Lote 64. 237 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú. // MEDINA MENDOZA, Ada. 2004. Plan de monitoreo arqueológico del proyecto de perforación exploratoria en el área noroeste del Lote 64. Locaciones Situche Norte 1x, Situche Central 1x y Campamento Base Sargento Puño. Provincia de Alto Amazonas, Departamento de Loreto. Primera Etapa. 331 pp. Informe Presentado al Instituto Nacional de Cultura. Lima, Perú."
307,Shinkatan,LO-MOR-18,Loreto,Datem del Marañón,Morona,-3.118400331,-77.53651827,Yes,197,197,-,"ENVIRONMENTAL RESOURCES MANAGEMENT – ERM PERÚ S.A. 2002.  Estudio de Impacto Ambiental-Social en el Área Noroeste del Lote 64.  96 pp. Informe Final / Resumen Ejecutivo. // RIVAS PANDURO, Santiago. 2007. Arqueología Amazónica. Componente temático para la mesozonificación ecológica y económica de las cuencas de los ríos Pastaza y Morona. 113 pp. Informe Final presentado al PROFONAMPE-UNAP. Iquitos, Perú. // RIVAS PANDURO, Santiago; Ada MEDINA MENDOZA; Julio ABANTO LLAQUE; Richer RÍOS ZUMAETA; Corina CALDAS CARRILLO. 2007. Arqueología de las cuencas del Pastaza y Morona. Reporte de zonificación ecológica económica. Pp. 269-302. Amazonía Peruana, Tomo XV, N° 31. CAAAP. Lima, Perú."
308,Panintsa,URI-1,Loreto,Datem del Marañón,Morona,-3.052792275,-77.45121878,No,206,220,-,"ENVIRONMENTAL RESOURCES MANAGEMENT – ERM PERÚ S.A. 2002.  Estudio de Impacto Ambiental-Social en el Área Noroeste del Lote 64.  96 pp. Informe Final / Resumen Ejecutivo. // MEDINA MENDOZA, Ada. 2003. Proyecto de evaluación arqueológica en el área noroeste del Lote 64. 237 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú. "
309,Unkum,URI-2,Loreto,Datem del Marañón,Pastaza,-2.986358351,-77.40598094,No,213,225,-,"ENVIRONMENTAL RESOURCES MANAGEMENT – ERM PERÚ S.A. 2002.  Estudio de Impacto Ambiental-Social en el Área Noroeste del Lote 64.  96 pp. Informe Final / Resumen Ejecutivo. // MEDINA MENDOZA, Ada. 2003. Proyecto de evaluación arqueológica en el área Noroeste del Lote 64. 237 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú. "
310,Puerto Belén ,LO-CHAP-01,Loreto,Datem del Marañón,Pastaza,-4.326622838,-76.91157979,No,147,137,-,"RIVAS PANDURO, Santiago. 2007. Arqueología Amazónica. Componente temático para la mesozonificación ecológica y económica de las cuencas de los ríos Pastaza y Morona. 113 pp. Informe Final presentado al PROFONAMPE-UNAP. Iquitos, Perú. // RIVAS PANDURO, Santiago; Ada MEDINA MENDOZA; Julio ABANTO LLAQUE; Richer RÍOS ZUMAETA; Corina CALDAS CARRILLO. 2007. Arqueología de las cuencas del Pastaza y Morona. Reporte de zonificación ecológica económica. Pp. 269-302. Amazonía Peruana, Tomo XV, N° 31. CAAAP. Lima, Perú."
311,"Huashintsa, o Washientsa",-,Loreto,Datem del Marañón,Manseriche,-3.35913699,-76.55937822,No,190,-,-,"RIVAS PANDURO, Santiago. 2007. Arqueología Amazónica. Componente temático para la mesozonificación ecológica y económica de las cuencas de los ríos Pastaza y Morona. 113 pp. Informe Final presentado al PROFONAMPE-UNAP. Iquitos, Perú. // RIVAS PANDURO, Santiago; Ada MEDINA MENDOZA; Julio ABANTO LLAQUE; Richer RÍOS ZUMAETA; Corina CALDAS CARRILLO. 2007. Arqueología de las cuencas del Pastaza y Morona. Reporte de zonificación ecológica económica. Pp. 269-302. Amazonía Peruana, Tomo XV, N° 31. CAAAP. Lima, Perú."
312,Buncunya,-,Loreto,Requena,Emilio San Martín,-6.469544536,-74.56570415,No,155,-,-,"2010. WALSH PERÚ. Línea Base Arqueológica del EIA Prospección Sísmica 2D y Perforación Exploratoria - Lotes 134 y 158. Talisman Energy. 16 pp. Lima, Perú. // Resolución Viceministerial N° 227-2010-VMPCIC-MC // Murga, 2010"
313,Requena/Tapiche River (multiple sites),-,Loreto,Requena,Requena,-5.04212,-73.83715,No,106,-,-,"SIIRIINEN, Ari; y, Tommi VOURINEN. 1989. Perun Amazonian arkeologiaa Tutkimuskia vaikeissa olosuhteissa. Pp. 43-49. Suomen Atropologi 4/89. Finlandia."
314,PVC Yanayacu,-,Loreto,Requena,Puinahua,-5.282400366,-74.42472237,No,110,104,At the edge of river,"RIVAS PANDURO, Santiago. 2014. Informe N°007-2014/AA/MC-DDC-LOR/SRP. 5 PP. Informe de supervisión de campo al Plan Monitoreo Arqueológico Proyecto de Prospección Sísmica 2D en el Lote 95, Departamento de Loreto, ubicado en los Distritos de Requena, Puinahua, Emilio San Martín, Capelo y Tapiche, en la Provincia de Requena, Departamento de Loreto, bajo la dirección de la Lic. Paula Jissela Poma Sánchez. Informe presentado a la Dirección Desconcentrada de Cultura del Ministerio de Cultura. Iquitos, Perú. // POMA SÁNCHEZ, Paula Jissela. 2014. Plan de Monitoreo Arqueológico Proyecto de Exploración Sísmica 2D en el Lote 95, Departamento de Loreto. 36 pp. Informe Final presentado al Ministerio de Cultura. Lima, Perú."
315,PV2 Yarina,-,Loreto,Requena,Puinahua,-5.349228587,-74.50261274,No,117,106,-,"RIVAS PANDURO, Santiago. 2014. Informe N°007-2014/AA/MC-DDC-LOR/SRP. 5 PP. Informe de supervisión de campo al Plan Monitoreo Arqueológico Proyecto de Prospección Sísmica 2D en el Lote 95, Departamento de Loreto, ubicado en los Distritos de Requena, Puinahua, Emilio San Martín, Capelo y Tapiche, en la Provincia de Requena, Departamento de Loreto, bajo la dirección de la Lic. Paula Jissela Poma Sánchez. Informe presentado a la Dirección Desconcentrada de Cultura del Ministerio de Cultura. Iquitos, Perú. // POMA SÁNCHEZ, Paula Jissela. 2014. Plan de Monitoreo Arqueológico Proyecto de Exploración Sísmica 2D en el Lote 95, Departamento de Loreto. 36 pp. Informe Final presentado al Ministerio de Cultura. Lima, Perú."
316,PV5 Alfaro del Pacaya,-,Loreto,Requena,Puinahua,-5.565006286,-75.04749264,No,126,-,-,"Oral testimony to Santiago Rivas Panduro from José Grocio Gil Navarro, 2010, Jefe de la Reserva Nacional Pacaya Samiria"
317,PV 9 Dos de Mayo del Samiria,-,Loreto,Requena,Puinahua,-5.616797894,-75.20913003,No,119,-,-,"RIVAS PANDURO, Santiago. 2010. Informe de viaje realizado a la Reserva Pacaya Samiria. 8 pp. Manuscrito. Iquitos, Perú. // Oral testimony to Santiago Rivas Panduro from Jorge Grocio Navarro, Jefe de la Reserva Nacional Pacaya Samiria"
318,Huacrachiro,-,Loreto,Requena,Puinahua,-5.49540219,-74.41878042,No,124,-,-,"ANGULO PAREDES, Luis Ricardo. 2016. Acta de Inspección N° 011-2016/AA/MC-DDC-LOR/LRAP. 2 pp. Reporte del hallazgo arqueológico fortuito colindante al talud del río en la Comunidad de Huacrachiro, en el Distrito de Puinahua, Provincia de Requena, Departamento de Loreto; en el marco de la inspección al Plan de Monitoreo Arqueológico de la Concesión Móvil EBC – Distrito de Puinahua, Provincia de Requena, Departamento de Loreto. Iquitos, Perú."
319,Víctor Raúl,-,Loreto,Requena,Emilio San Martín,-6.443068058,-74.56680285,No,126,-,-,"2010. WALSH PERÚ. Línea Base Arqueológica del EIA Prospección Sísmica 2D y Perforación Exploratoria - Lotes 134 y 158. Talisman Energy. 16 pp. Lima, Perú."
320,Mállame,-,Loreto,Requena,Emilio San Martín,-6.465240902,-74.56834856,No,136,-,-,"2010. WALSH PERÚ. Línea Base Arqueológica del EIA Prospección Sísmica 2D y Perforación Exploratoria - Lotes 134 y 158. Talisman Energy. 16 pp. Lima, Perú."
321,Miguel Grau,-,Loreto,Ucayali,Sarayacu,-6.575306836,-75.02630535,Yes,135,-,In the river,"2010. WALSH PERÚ. Línea Base Arqueológica del EIA Prospección Sísmica 2D y Perforación Exploratoria - Lotes 134 y 158. Talisman Energy. 16 pp. Lima, Perú. // Murga 2010"
322,Santa Teresa,-,Loreto,Ucayali,Sarayacu,-6.614658017,-74.98944265,Yes,126,-,-,"2010. WALSH PERÚ. Línea Base Arqueológica del EIA Prospección Sísmica 2D y Perforación Exploratoria - Lotes 134 y 158. Talisman Energy. 16 pp. Lima, Perú. // Murga 2010"
323,Cantagallo,-,Loreto,Ucayali,Sarayacu,-6.82712,-75.4412,No,373, -,-,"PANAIFO TEIXEIRA, Mónica. 1994. “Evaluación de nuestra arqueología Amazónica”. Pp. 169-229. Amazonia: en Busca de su Palabra. IIAP. Lima, Perú//RIVAS PANDURO, Santiago. 2006. Proyecto Qhapaq Ñan. La arqueología de la región Loreto (Selva Baja de la Amazonia Peruana). Estado de la cuestión. Informe Final. Instituto Nacional de Cultura, Iquitos, Perú. "
324,Sarayacu,-,Loreto,Ucayali,Sarayacu,-6.787318108,-75.10576438,No,140,-,-,"MYERS, Thomas. 1972. Sarayacu: Archaeological investigations at  a 19th Century Franciscan mission in the Peruvian Montaña. Pp. 25-37. Actas y Memorias XXXIX Congreso Internacional de Americanistas, Vol. 4. Lima, Perú. // MYERS, Thomas. 1990. Sarayacu: Ethnohistorical and Archaeological Investigations of a Nineteenth-century Franciscan Mission in the Peruvian Montaña. University of Nebraska Studies: New Series N° 68. Nebraska, USA."
325,Maximiliano,-,Loreto,Ucayali,Sarayacu,-6.39061483,-75.12602611,No,130,-,-,"MYERS, Thomas. ca. 1987. Archaeological Evidencie from Dos de Mayo, Lower Ucayali River, Peru. 15 pp. Manuscrito inédito."
326,Pinedo,-,Loreto,Ucayali,Sarayacu,-6.428071837,-75.16838458,No,120,-,-,"MYERS, Thomas. ca.1987. Archaeological Evidencie from Dos de Mayo, Lower Ucayali River, Peru. 15 pp. Manuscrito inédito."
327,Cruz Molluna,-,Loreto,Ucayali,Alfredo Vargas Guerra,-6.746368355,-74.97215626,No,139,-,-,"2010. WALSH PERÚ. Línea Base Arqueológica del EIA Prospección Sísmica 2D y Perforación Exploratoria - Lotes 134 y 158. Talisman Energy. 16 pp. Lima, Perú. // Resolución Viceministerial N° 227-2010-VMPCIC-MC // Murga, 2010"
328,Orellana UCA-26,UCA-26,Loreto,Ucayali,Alfredo Vargas Guerra,-6.907797178,-75.15585751,No,135,-,-,"MYERS, Thomas. 1967. Reconocimiento arqueológico en el Ucayali Central. Pp. 5-7. Boletín del Museo Nacional de Arqueología y Antropología, Volumen 6. Lima, Perú."
329,Orellana UCA-27,UCA-27,Loreto,Ucayali,Alfredo Vargas Guerra,-6.912035969,-75.16697484,No,141,-,-,"MYERS, Thomas. 1967. Reconocimiento arqueológico en el Ucayali Central. Pp. 5-7. Boletín del Museo Nacional de Arqueología y Antropología, Volumen 6. Lima, Perú."
330,Suni Caño,-,Loreto,Ucayali,Alfredo Vargas Guerra,-6.919279049,-75.10349936,No,133,-,-,"COOMES, Oliver; Christian ABIZAID; Yoshito TAKASAKI; y Santiago RIVAS PANDURO. 2020. “The Lower Ucayali river in prehistory: Cultural chronology, archeological evidence and a recently discovered Pre-Columbian site”, Pp. 145-167 The Geographical Review 111, https://doi.org/10.1080/00167428.2020.1777128 //Ing. Juan Carlos Vilca Tello (personal communcation to Santiago Rivas Panduro, 2015). "
331,Canchahuaya,-,Loreto,Ucayali,Alfredo Vargas Guerra,-6.98384,-75.1087,No,125,-,-,"PANAIFO TEIXEIRA, Mónica. 1994. “Evaluación de Nuestra Arqueología Amazónica”. Pp. 169-229. Amazonia: en Busca de su Palabra. IIAP. Lima, Perú//MORALES CHOCANO, Daniel; Ana MUJICA BAQUERIZO; y Ronald L. WEBER. 2016. “Chapter 2: Continuity and change among the Shipibo-Conibo: Prehistory to modernity”, Pp. 9-20 Fieldiana: Anthropology N.S 45."
332,Pirococha UCA-28,UCA-28,Loreto,Ucayali,Inahuaya,-7.042922826,-75.18762943,No,140,-,-,"MYERS, Thomas. 1967. Reconocimiento arqueológico en el Ucayali Central. Pp. 5-7. Boletín del Museo Nacional de Arqueología y Antropología, Volumen 6. Lima, Perú."
333,Piracocha UCA-29,UCA-29,Loreto,Ucayali,Inahuaya,-7.043329036,-75.24776998,No,141,-,-,"MYERS, Thomas. 1967. Reconocimiento arqueológico en el Ucayali Central. Pp. 5-7. Boletín del Museo Nacional de Arqueología y Antropología, Volumen 6. Lima, Perú."
334,Piracocha UCA-30,UCA-30,Loreto,Ucayali,Inahuaya,-7.045137759,-75.19087187,No,126,-,-,"MYERS, Thomas. 1967. Reconocimiento arqueológico en el Ucayali Central. Pp. 5-7. Boletín del Museo Nacional de Arqueología y Antropología, Volumen 6. Lima, Perú."
335,Aguas Calientes,-,Loreto,Ucayali,Inahuaya,-7.220638033,-74.95461888,No,191,-,-,"SIIRIINEN, Ari; y, Tommi VOURINEN. 1989. Perun Amazonian arkeologiaa Tutkimuskia vaikeissa olosuhteissa. Pp. 43-49. Suomen Atropologi, 4/89. Finlandia. // PANAIFO TEIXEIRA, Mónica. 1994. “Evaluación de nuestra arqueología Amazónica”. Pp. 169-229. Amazonia: en Busca de su Palabra. IIAP. Lima, Perú."
336,Ruinas del Pauya,PAU-1,Loreto,Ucayali,Pampa Hermosa,-7.398085158,-75.73953116,No,204,-,-,"PANAIFO TEIXEIRA, Mónica. 1994. “Evaluación de nuestra arqueología Amazónica”. Pp. 169-229. Amazonia: en Busca de su Palabra. IIAP. Lima, Perú."
337,Nuevo Edén 1-L41,-,Loreto,Ucayali,Contamana,-8.241112259,-75.58195692,Yes,269,-,-,Resolución Viceministerial N° 440-2011-VMPCIC-MC
338,Nuevo Edén 2-L41,-,Loreto,Ucayali,Contamana,-8.218625881,-75.58230542,Yes,239,-,-,Resolución Viceministerial N° 440-2011-VMPCIC-MC
339,San Salvador,SALV-1,Loreto,Ucayali,Contamana,-7.310501347,-75.03952369,No,153,152.4,-,"SIIRIINEN, Ari; y, Tommi VOURINEN. 1989. Perun Amazonian arkeologiaa Tutkimuskia vaikeissa olosuhteissa. Pp. 43-49. Suomen Atropologi 4/89. Finlandia. // GÓMEZ JARECA, Pablo. 2012. Informe Técnico N° 2406-2012-CC-DA-MC. 6 Pp. Informe sobre delimitación del sitio arqueológico San Salvador y sitio arqueológico de Cachique, Distrito de Contamana, Provincia de Ucayali, Departamento de Loreto. Presentado al Director de la Dirección de Arqueología del Ministerio de Cultura. Lima, Perú."
340,Cachique,-,Loreto,Ucayali,Contamana,-7.307860412,-75.04009807,No,157,172.98,-,"GÓMEZ JARECA, Pablo. 2012. Informe Técnico N° 2406-2012-CC-DA-MC. 6 Pp. Informe sobre delimitación del sitio arqueológico San Salvador y sitio arqueológico de Cachique, Distrito de Contamana, Provincia de Ucayali, Departamento de Loreto. Presentado al Director de la Dirección de Arqueología del Ministerio de Cultura. Lima, Perú."
341,Puerto Oriente,-,Loreto,Ucayali,Contamana,-7.32586,-74.95667,No,171, -,,"BLISSENBACH, Erich. 1992. “Evidence for earlier settlements near Contamana, Rio Ucayali, Upper Amazon”, Pp. 17-25. Baessler-Archiv 40(1). "
342,Betania,-,Loreto,Ucayali,Contamana,-7.345422328,-74.92965342,No,201,-,-,"RIVAS PANDURO, Santiago. 2012. Informe N° 133-2012/AA/MC-DRC-LOR/SRP. 2 pp. Informe sobre noticia de hallazgo de evidencia arqueológica en Betania, Distrito de Contamana, Provincia de Ucayali, Departamento de Loreto. Presentado a la Dirección Desconcentrada de Cultura del Ministerio de Cultura. Iquitos, Perú."
343,Contamana,-,Loreto,Ucayali,Contamana,-7.344432711,-75.00891562,No,160,-,-,"MYERS, Thomas. 1967. Reconocimiento arqueológico en el Ucayali Central. Pp. 5-7. Boletín del Museo Nacional de Arqueología y Antropología, Volumen 6. Lima, Perú."
344,Laguna Quistococha,LO-Q - 001,Loreto,Maynas,San Juan Bautista,-3.826930769,-73.32334502,No,110,127,-,"RIVAS PANDURO, Santiago; y, Mónica PANAIFO TEIXEIRA 2005. Hallazgos en el aitio arqueológico de Quistococha, Distrito de San Juan, Provincia de Maynas, región Loreto. 46 pp. Informe presentado al Instituto Nacional de Cultura de Loreto. Iquitos, Perú. // RIVAS PANDURO, Santiago. 2006. Proyecto de investigación excavaciones arqueológicas en Quistococha. Loreto, Amazonía peruana. 42 pp. Informe Final presentado al Instituto Nacional de Cultura (hoy Ministerio de Cultura). Iquitos, Perú. // RIVAS PANDURO, Santiago; Mónica PANAIFO TEIXEIRA; Augusto OYUELA CAYCEDO; y Andrew ZIMMERMAN. 2006. Informe Preliminar sobre los recientes hallazgos en el Sitio Arqueológicos Quistococha, Amazonia peruana. Boletín de Estudios Amazónicos. Publicación de la Maestría de Estudios Amazónicos. UNMSM. Lima, Perú."
345,Las Lomas ,-,Loreto,Maynas,San Juan Bautista,-3.791648729,-73.29491347,No,111,-,-,"RIVAS PANDURO, Santiago. 2014. Evidencias arqueológicas en la ciudad de Iquitos y su entorno. Cuadro sinóptico. 1 pp. "
346,Cementerio San Roque,-,Loreto,Maynas,San Juan Bautista,-3.785725735,-73.29222709,No,107,-,-,"RIVAS PANDURO, Santiago. 2014. Evidencias arqueológicas en la ciudad de Iquitos y su entorno. Cuadro sinóptico. 1 pp. "
347,Santa Ana I,-,Loreto,Maynas,Fernando Lores,-4.053786057,-73.13868732,Yes,99,-,-,"VERA VEREAU, Melina Maribel; y, Rafael CABANILLAS CALDERÓN. 2006. Inventario y registro del patrimonio cultural de la nación: región Loreto. 136 pp. Informe Final presentado al Programa Qhapaq Ñan. Iquitos, Perú."
348,Quebrada Lobo,-,Loreto,Maynas,Fernando Lores,-4.101993225,-73.06058636,Yes,111,-,-,"VERA VEREAU, Melina Maribel; y, Rafael CABANILLAS CALDERÓN. 2006. Inventario y registro del patrimonio cultural de la nación: región Loreto. 136 pp. Informe Final presentado al Programa Qhapaq Ñan. Iquitos, Perú."
349,Fomento ,-,Loreto,Maynas,Fernando Lores,-4.201823381,-73.37293839,Yes,101,-,-,"VERA VEREAU, Melina Maribel; y, Rafael CABANILLAS CALDERÓN. 2006. Inventario y registro del patrimonio cultural de la nación: región Loreto. 136 pp. Informe Final presentado al Programa Qhapaq Ñan. Iquitos, Perú."
350,Cumapa (San Salvador de Omaguas),-,Loreto,Maynas,Fernando Lores,-4.175442305,-73.37629843,Yes,97,-,-,"VERA VEREAU, Melina Maribel; y, Rafael CABANILLAS CALDERÓN. 2006. Inventario y registro del patrimonio cultural de la nación: región Loreto. 136 pp. Informe Final presentado al Programa Qhapaq Ñan. Iquitos, Perú."
351,Flores,-,Loreto,Maynas,Fernando Lores,-4.004705735,-73.15471783,No,95,102,-,"RIVAS PANDURO, Santiago. 2006. La arqueología de la región Loreto (selva baja de la Amazonía peruana). Estado de la Cuestión. 103 pp. Proyecto Qhapaq Ñan. Informe Final presentado al Instituto Nacional de Cultura. "
352,Tamshiyacu,-,Loreto,Maynas,Fernando Lores,-4.010116849,-73.15643447,No,91,93,At the edge of river,"RIVAS PANDURO, Santiago. 2006. La arqueología de la región Loreto (selva baja de la Amazonía peruana). Estado de la Cuestión. 103 pp. Proyecto Qhapaq Ñan. Informe Final presentado al Instituto Nacional de Cultura. "
353,El Pobrecito,-,Loreto,Maynas,Fernando Lores,-4.027609944,-73.13901715,No,91,-,-,"RIVAS PANDURO, Santiago. 2010. Informe N° 032-2010/AA/MC-DRC-L/SRP. Informe de supervisión técnica de campo para constatación del reporte de hallazgos arqueológicos en el Lote 128, del proyecto “Plan de Monitoreo Arqueológico para el programa de estudio y exploración sísmica 2D y perforación de pozos estratigráficos, Lote 128, Loreto”, bajo la dirección del Lic. Fernando Egberto Vicente Vargas Torres. // MURGA PASTOR, Leonardo. 2011. Proyecto de Evaluación Arqueológica de Reconocimiento con Excavaciones Restringidas del Campamento Sub-Base C128-B, río Tamshiyacu, Lote 128. Derivado del “Plan de Monitoreo Arqueológico para el Programa de Estudio y Exploración Sísmica 2D, y Perforación de Pozos Estratigráficos, Lote 128. Loreto”. Informe Final presentado al Ministerio de Cultura. Lima, Perú.  "
354,Nuevo Progreso,-,Loreto,Maynas,Fernando Lores,-3.521745915,-72.78478359,No,91,-,-,"RIVAS PANDURO, Santiago; Ricardo CHIRINOS PORTOCARRERO; Lúcia BORBA. 2008. Diagnóstico ambiental del componente socio-cultural y arqueología. 115 pp. Zonificación ecológica económica Bellavista-Mazán. Informe presentado al PEDICP. Iquitos, Perú."
355,Alto Nanay 1,-,Loreto,Maynas,Alto Nanay,-3.107111567,-74.67832764,No,161,-,-,"FIERRO HUATUCO, Koraíta. 2011. Plan de monitoreo arqueológico del programa exploratorio de los Lotes 129, 123 y 124. Departamento de Loreto. 109 pp. Informe Final presentado al Ministerio de Cultura. Lima, Perú. // CHUMPITAZ LLERENA, Daniel. 2011. Proyecto de evaluación arqueológica del campamento base providencia y del campamento volante 07. Lote 123. Derivado del Plan de Monitoreo Arqueológico del Programa Exploratorio de los Lotes 129, 123 y 124. Departamento de Loreto. 153 pp. Informe Final presentado al Ministerio de Cultura. Lima, Perú."
356,Agua Blanca 1,-,Loreto,Maynas,Alto Nanay,-2.923608571,-74.77088383,No,179,-,-,"FIERRO HUATUCO, Koraíta. 2012. Plan de monitoreo arqueológico del Programa Exploratorio de los Lotes 123 y 129. Departamento de Loreto. II temporada. 103 pp. Informe Final presentado al Ministerio de Cultura. Lima, Perú."
357,Agua Negra 1,-,Loreto,Maynas,Alto Nanay,-2.859062922,-74.9839298,No,164,-,-,"FIERRO HUATUCO, Koraíta. 2012. Plan de monitoreo arqueológico del Programa Exploratorio de los lotes 123 y 129. Departamento de Loreto. II temporada. 103 pp. Informe Final presentado al Ministerio de Cultura. Lima, Perú."
358,Arenal,-,Loreto,Maynas,Punchana,-3.634824344,-73.21749263,No,109,112,-,"RIVAS PANDURO, Santiago; Ricardo CHIRINOS PORTOCARRERO; Lúcia BORBA. 2008. Diagnóstico ambiental del componente socio-cultural y arqueología. 115 pp. Zonificación Ecológica Económica Bellavista-Mazán. Informe presentado al PEDICP. Iquitos, Perú."
359,San Juan,-,Loreto,Maynas,Punchana,-3.58614258,-73.18263227,No,90,111,-,"RIVAS PANDURO, Santiago; Ricardo CHIRINOS PORTOCARRERO; Lúcia BORBA. 2008. Diagnóstico ambiental del componente socio-cultural y arqueología. 115 pp. Zonificación Ecológica Económica Bellavista-Mazán. Informe presentado al PEDICP. Iquitos, Perú."
360,Nuevo Independencia o Independencia  (Evidencias cerámicas A)        ,-,Loreto,Maynas,Punchana,-3.651264376,-73.2345118,No,120,162,-,"VERA VEREAU, Melina Maribel; y, Rafael CABANILLAS CALDERÓN. 2006. Inventario y registro del patrimonio cultural de la nación: Región Loreto. 136 pp. Informe Final presentado al Programa Qhapaq Ñan. Iquitos, Perú. // RIVAS PANDURO, Santiago. 2014. Informe N°039-2014 SRP-SD-SDD-PCICI/DDC-LOR/MC. Informe de entrega de plano topográfico de Independencia. 1 pp. Informe presentado a la Dirección Desconcentrada de Cultura del Ministerio de Cultura. Iquitos, Perú."
361,Nuevo Independencia o Independencia (Evidencias cerámicas B),-,Loreto,Maynas,Punchana,-3.649498779,-73.23491587,No,130,162,-,"VERA VEREAU, Melina Maribel; y, Rafael CABANILLAS CALDERÓN. 2006. Inventario y registro del patrimonio cultural de la nación: Región Loreto. 136 pp. Informe Final presentado al Programa Qhapaq Ñan. Iquitos, Perú. // RIVAS PANDURO, Santiago. 2014. Informe N°039-2014 SRP-SD-SDD-PCICI/DDC-LOR/MC. Informe de entrega de plano topográfico de Independencia. 1 pp. Informe presentado a la Dirección Desconcentrada de Cultura del Ministerio de Cultura. Iquitos, Perú."
362,Independencia  (Evidencias cerámicas C) ,-,Loreto,Maynas,Punchana,-3.641963077,-73.23873528,No,134,165,-,"RIVAS PANDURO, Santiago. 2014. Informe N° 026-2014/AA/MC-DDC-LOR/SRP. Informe de visita al sitio arqueológico localizado en terreno de propiedad de la Marina de Guerra del Perú, colindante con la Comunidad Nativa Independencia, río Amazonas. 6 pp. Informe presentado a la Dirección Desconcentrada de Cultura del Ministerio de Cultura. Iquitos, Perú. // RIVAS PANDURO, Santiago. 2014. Informe N°039-2014 SRP-SD-SDD-PCICI/DDC-LOR/MC. Informe de entrega de plano topográfico de Independencia. 1 pp. Informe presentado a la Dirección Desconcentrada de Cultura del Ministerio de Cultura. Iquitos, Perú."
363,Gen Gen,-,Loreto,Maynas,Punchana,-3.620432359,-73.31360993,No,110,112,-,"RIVAS PANDURO, Santiago; Ricardo CHIRINOS PORTOCARRERO; Lúcia BORBA. 2008. Diagnóstico ambiental del componente socio-cultural y arqueología. 115 pp. Zonificación Ecológica Económica Bellavista-Mazán. Informe presentado al PEDICP. Iquitos, Perú."
364,Arimuya (Nuevo Independencia),-,Loreto,Maynas,Punchana,-3.648158926,-73.22956312,Yes,106,-,-,"VERA VEREAU, Melina Maribel; y, Rafael CABANILLAS CALDERÓN. 2006. Inventario y registro del patrimonio cultural de la mación: Región Loreto. 136 pp. Informe Final presentado al Programa Qhapaq Ñan. Iquitos, Perú."
365,Santa Isabel ,-,Loreto,Maynas,Indiana,-3.465570482,-72.92816246,Yes,111,-,-,"VERA VEREAU, Melina Maribel; y, Rafael CABANILLAS CALDERÓN. 2006. Inventario y registro del patrimonio cultural de la mación: Región Loreto. 136 pp. Informe Final presentado al Programa Qhapaq Ñan. Iquitos, Perú."
366,Cementerio Rey de los Muertos,-,Loreto,Maynas,Indiana,-3.472280914,-72.9455397,No,97,110,-,"RIVAS PANDURO, Santiago; Ricardo CHIRINOS PORTOCARRERO; Lúcia BORBA. 2008. Diagnóstico ambiental del componente socio-cultural y arqueología. 115 pp. Zonificación Ecológica Económica Bellavista-Mazán. Informe presentado al PEDICP. Iquitos, Perú."
367,Zapote,-,Loreto,Maynas,Indiana,-3.550579776,-73.14237635,No,104,92,-,"RIVAS PANDURO, Santiago; Ricardo CHIRINOS PORTOCARRERO; Lúcia BORBA. 2008. Diagnóstico ambiental del componente socio-cultural y arqueología. 115 pp. Zonificación Ecológica Económica Bellavista-Mazán. Informe presentado al PEDICP. Iquitos, Perú."
368,Sinchicuy,-,Loreto,Maynas,Indiana,-3.586529685,-73.15925033,No,99,95,-,"RIVAS PANDURO, Santiago; Ricardo CHIRINOS PORTOCARRERO; Lúcia BORBA. 2008. Diagnóstico ambiental del componente socio-cultural y arqueología. 115 pp. Zonificación Ecológica Económica Bellavista-Mazán. Informe presentado al PEDICP. Iquitos, Perú."
